id,kab_id,sektor_id,tahun,rn,rin,rij,mij,cij,kategori_pertumbuhan,kategori_daya_saing,created_at,updated_at,nij,dij,periode
87,1201,2,2025,0.02952,0.01701,0.02869,-296426354.57210,-19512137.46770,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,699512137.4677,383573645.4279,null
88,1201,3,2025,0.02952,0.03485,0.01878,4563653829.77510,-9180286897.76000,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,25240286897.76,20623653829.775,null
89,1201,4,2025,0.02952,0.03306,0.00288,160033770.47720,-1204090658.79920,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,1334090658.7992,290033770.4772,null
90,1201,5,2025,0.02952,0.06161,-0.00106,301964634.89160,-287738785.38280,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,277738785.3828,291964634.8916,null
91,1201,6,2025,0.02952,-0.00023,-0.00013,-24951362680.65300,-24865645999.14300,Pertumbuhan Lambat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,24755645999.143,-25061362680.653,null
92,1201,7,2025,0.02952,0.06145,0.03970,32292196162.08300,10295624565.38000,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:59:10,2026-07-16 02:17:25,29844375434.62,72432196162.083,null
93,1201,8,2025,0.02952,-0.23213,0.01030,-49297401255.91500,-3620973916.46820,Pertumbuhan Lambat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,5560973916.4682,-47357401255.915,null
94,1201,9,2025,0.02952,0.04374,0.04614,1815541507.69260,2122374500.09470,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:59:10,2026-07-16 02:17:25,3767625499.9054,7705541507.6926,null
95,1201,10,2025,0.02952,0.06522,0.03659,2556431273.30570,506410794.76520,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:59:10,2026-07-16 02:17:25,2113589205.2348,5176431273.3057,null
96,1201,11,2025,0.02952,0.03101,0.01498,123799663.13730,-1203274883.52660,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,2443274883.5266,1363799663.1373,null
97,1201,12,2025,0.02952,0.08642,0.06892,9875386041.04060,6838213450.85330,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:59:10,2026-07-16 02:17:25,5121786549.1467,21835386041.041,null
98,1201,13,2025,0.02952,0.10445,0.05558,1901144765.62950,661197344.82880,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:59:10,2026-07-16 02:17:25,748802655.1712,3311144765.6295,null
99,1201,14,2025,0.02952,-0.00596,-0.00362,-21830619019.26400,-20391932433.30800,Pertumbuhan Lambat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,18161932433.308,-24060619019.264,null
100,1201,15,2025,0.02952,0.04163,0.01518,1141255016.96980,-1350339381.83380,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,2780339381.8338,2571255016.9698,null
101,1201,16,2025,0.02952,0.08340,0.08426,1554152786.20680,1578779323.01390,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 19:59:10,2026-07-16 02:17:25,851220676.9861,3984152786.2068,null
102,1201,17,2025,0.02952,0.03362,0.01935,33929177.71880,-84091366.11220,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 19:59:10,2026-07-16 02:17:25,244091366.1122,193929177.7188,null
120,1202,1,2022,0.04725,0.05029,0.04801,8451177058.97810,2103230408.39230,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:09,2026-07-16 01:53:00,131486769591.61,142041177058.98,null
121,1202,2,2022,0.04725,0.02616,0.04444,-104417941.37750,-13890758.95370,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,233890758.9537,115582058.6225,null
122,1202,3,2022,0.04725,0.01982,0.03955,-3536728652.75410,-992499890.80650,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,6092499890.8065,1563271347.2459,null
123,1202,4,2022,0.04725,0.04810,0.02381,6807565.46880,-187060253.82840,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,377060253.8284,196807565.4688,null
124,1202,5,2022,0.04725,0.02167,0.04531,-163722368.39620,-12404213.59670,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,302404213.5967,126277631.6038,null
125,1202,6,2022,0.04725,0.03032,0.04002,-13840178233.43700,-5911270635.55560,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,38621270635.556,18869821766.563,null
126,1202,7,2022,0.04725,0.06572,0.04499,15821258731.92400,-1939716391.16560,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,40469716391.166,54351258731.924,null
127,1202,8,2022,0.04725,0.12963,0.07527,23235528594.19800,7902951805.47550,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:09,2026-07-16 01:53:00,13327048194.524,44465528594.198,null
128,1202,9,2022,0.04725,0.07257,0.07134,3510348835.59260,3339641229.54470,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:09,2026-07-16 01:53:00,6550358770.4553,13400348835.593,null
