tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,pertumbuhan,kontribusi
provinsi,18,,8,2023,16.54,6.49
provinsi,18,,9,2023,13.38,1.62
provinsi,18,,10,2023,7.5,5.54
provinsi,18,,11,2023,3.19,1.92
provinsi,18,,12,2023,0.86,2.88
provinsi,18,,13,2023,5.79,0.15
provinsi,18,,14,2023,0.12,2.98
provinsi,18,,15,2023,2.23,2.92
provinsi,18,,16,2023,3.87,1.07
provinsi,18,,17,2023,15.38,1.16
provinsi,18,,1,2024,-1.95,24.27
provinsi,18,,2,2024,4.86,4.72
provinsi,18,,3,2024,8.96,18.29
provinsi,18,,4,2024,-6.43,0.14
provinsi,18,,5,2024,-0.31,0.1
provinsi,18,,6,2024,2.76,10.27
provinsi,18,,7,2024,7.2,14.75
provinsi,18,,8,2024,9.84,6.82
provinsi,18,,9,2024,5.54,1.64
provinsi,18,,10,2024,8.62,5.76
provinsi,18,,11,2024,4.81,1.93
provinsi,18,,12,2024,6.76,2.94
provinsi,18,,13,2024,8.99,0.16
provinsi,18,,14,2024,7.06,3.05
provinsi,18,,15,2024,1.49,2.83
provinsi,18,,16,2024,7.29,1.09
provinsi,18,,17,2024,10.63,1.23
provinsi,18,,1,2025,5.91,24.42
provinsi,18,,2,2025,-1.17,4.43
provinsi,18,,3,2025,6.32,18.47
provinsi,18,,4,2025,-3.05,0.13
provinsi,18,,5,2025,2.55,0.1
provinsi,18,,6,2025,5.55,10.3
provinsi,18,,7,2025,5.4,14.77
provinsi,18,,8,2025,7.32,6.95
provinsi,18,,9,2025,7.83,1.68
provinsi,18,,10,2025,4.53,5.72
provinsi,18,,11,2025,5.96,1.94
provinsi,18,,12,2025,3.96,2.9
provinsi,18,,13,2025,4.26,0.16
provinsi,18,,14,2025,2.76,2.98
provinsi,18,,15,2025,1.85,2.74
provinsi,18,,16,2025,2.25,1.06
provinsi,18,,17,2025,7.38,1.25
provinsi,11,,1,2021,0,27.92
provinsi,11,,2,2021,0,7.69
provinsi,11,,3,2021,0,4.59
provinsi,11,,4,2021,0,0.16
provinsi,11,,5,2021,0,0.04
provinsi,11,,6,2021,0,10.23
provinsi,11,,7,2021,0,14.82
provinsi,11,,8,2021,0,6.23
provinsi,11,,9,2021,0,1.15
provinsi,11,,10,2021,0,4.13
provinsi,11,,11,2021,0,1.65
provinsi,11,,12,2021,0,4.19
provinsi,11,,13,2021,0,0.62
provinsi,11,,14,2021,0,9.01
provinsi,11,,15,2021,0,2.73
provinsi,11,,16,2021,0,3.38
provinsi,11,,17,2021,0,1.45
provinsi,11,,1,2022,3.28,27.67
provinsi,11,,2,2022,4.3,7.7
provinsi,11,,3,2022,4.19,4.59
provinsi,11,,4,2022,2.43,0.16
provinsi,11,,5,2022,8.91,0.04
provinsi,11,,6,2022,-2.26,9.59
provinsi,11,,7,2022,6.36,15.13
provinsi,11,,8,2022,7.24,6.42
provinsi,11,,9,2022,32.4,1.46
provinsi,11,,10,2022,11.25,4.4
provinsi,11,,11,2022,-5.93,1.49
provinsi,11,,12,2022,3.98,4.18
provinsi,11,,13,2022,11.56,0.67
provinsi,11,,14,2022,-0.06,8.64
provinsi,11,,15,2022,3.83,2.72
provinsi,11,,16,2022,9.81,3.56
provinsi,11,,17,2022,13.59,1.58
provinsi,11,,1,2023,6.72,28.33
provinsi,11,,2,2023,-4.83,7.03
provinsi,11,,3,2023,-1.56,4.34
provinsi,11,,4,2023,7.33,0.16
provinsi,11,,5,2023,4.41,0.04
provinsi,11,,6,2023,3.67,9.54
provinsi,11,,7,2023,9.05,15.83
provinsi,11,,8,2023,7.48,6.62
provinsi,11,,9,2023,8.17,1.51
provinsi,11,,10,2023,4.85,4.43
provinsi,11,,11,2023,-10.92,1.28
provinsi,11,,12,2023,3.65,4.16
provinsi,11,,13,2023,-1.04,0.63
provinsi,11,,14,2023,1.84,8.44
provinsi,11,,15,2023,1.82,2.66
provinsi,11,,16,2023,-0.42,3.4
provinsi,11,,17,2023,5.65,1.6
provinsi,11,,1,2024,1.19,27.39
provinsi,11,,2,2024,11.16,7.47
provinsi,11,,3,2024,2.95,4.27
provinsi,11,,4,2024,5.54,0.16
provinsi,11,,5,2024,1.9,0.04
provinsi,11,,6,2024,4.37,9.52
provinsi,11,,7,2024,2.55,15.51
provinsi,11,,8,2024,16.79,7.38
provinsi,11,,9,2024,2.82,1.48
provinsi,11,,10,2024,1.85,4.31
provinsi,11,,11,2024,22.04,1.49
provinsi,11,,12,2024,3.54,4.11
provinsi,11,,13,2024,4.32,0.63
provinsi,11,,14,2024,7.48,8.67
provinsi,11,,15,2024,4.39,2.65
provinsi,11,,16,2024,2.23,3.33
provinsi,11,,17,2024,4.08,1.59
provinsi,11,,1,2025,3.6,27.56
provinsi,11,,2,2025,1.01,7.33
provinsi,11,,3,2025,4.63,4.33
provinsi,11,,4,2025,-2.62,0.15
provinsi,11,,5,2025,-0.54,0.04
provinsi,11,,6,2025,-2.48,9.01
provinsi,11,,7,2025,4.48,15.74
provinsi,11,,8,2025,6,7.6
provinsi,11,,9,2025,4.81,1.51
provinsi,11,,10,2025,1.87,4.27
provinsi,11,,11,2025,3.85,1.5
provinsi,11,,12,2025,4.46,4.17
provinsi,11,,13,2025,-0.52,0.61
provinsi,11,,14,2025,2.54,8.64
provinsi,11,,15,2025,3.47,2.67
provinsi,11,,16,2025,2.22,3.3
provinsi,11,,17,2025,2.06,1.58
provinsi,13,,1,2021,0,22.18
provinsi,13,,2,2021,0,3.95
provinsi,13,,3,2021,0,9.5
provinsi,13,,4,2021,0,0.1
provinsi,13,,5,2021,0,0.1
provinsi,13,,6,2021,0,9.26
provinsi,13,,7,2021,0,16.55
provinsi,13,,8,2021,0,10.28
provinsi,13,,9,2021,0,1.01
provinsi,13,,10,2021,0,8.49
provinsi,13,,11,2021,0,3
provinsi,13,,12,2021,0,1.98
provinsi,13,,13,2021,0,0.43
provinsi,13,,14,2021,0,5.62
provinsi,13,,15,2021,0,4.21
provinsi,13,,16,2021,0,1.64
provinsi,13,,17,2021,0,1.71
provinsi,13,,1,2022,3.52,22.01
provinsi,13,,2,2022,1.94,3.85
provinsi,13,,3,2022,1.75,9.26
provinsi,13,,4,2022,3.22,0.1
provinsi,13,,5,2022,3.92,0.1
provinsi,13,,6,2022,2.51,9.09
provinsi,13,,7,2022,5.6,16.74
provinsi,13,,8,2022,5.73,10.42
provinsi,13,,9,2022,15.79,1.12
provinsi,13,,10,2022,7.02,8.71
provinsi,13,,11,2022,4.54,3
provinsi,13,,12,2022,5.78,2.01
provinsi,13,,13,2022,7.33,0.44
provinsi,13,,14,2022,0.89,5.44
provinsi,13,,15,2022,5.13,4.24
provinsi,13,,16,2022,4.54,1.64
provinsi,13,,17,2022,11.88,1.83
provinsi,13,,1,2023,3.54,21.78
provinsi,13,,2,2023,4.65,3.86
provinsi,13,,3,2023,3.08,9.13
provinsi,13,,4,2023,4.15,0.1
provinsi,13,,5,2023,2.18,0.1
provinsi,13,,6,2023,5.86,9.2
provinsi,13,,7,2023,4.61,16.74
provinsi,13,,8,2023,5.77,10.53
provinsi,13,,9,2023,7.71,1.15
provinsi,13,,10,2023,7.64,8.96
provinsi,13,,11,2023,2.78,2.95
provinsi,13,,12,2023,6.32,2.04
provinsi,13,,13,2023,6.88,0.45
provinsi,13,,14,2023,2.36,5.32
provinsi,13,,15,2023,1.84,4.13
provinsi,13,,16,2023,7.29,1.68
provinsi,13,,17,2023,8.06,1.89
provinsi,13,,1,2024,2.05,21.3
provinsi,13,,2,2024,3.97,3.84
provinsi,13,,3,2024,2.6,8.97
provinsi,13,,4,2024,4.4,0.1
provinsi,13,,5,2024,3.31,0.1
provinsi,13,,6,2024,4.57,9.22
provinsi,13,,7,2024,4.41,16.75
provinsi,13,,8,2024,5.56,10.66
provinsi,13,,9,2024,5.37,1.16
provinsi,13,,10,2024,5.45,9.05
provinsi,13,,11,2024,6.06,3
provinsi,13,,12,2024,5.87,2.07
provinsi,13,,13,2024,4.72,0.45
provinsi,13,,14,2024,10.23,5.62
provinsi,13,,15,2024,3.23,4.08
provinsi,13,,16,2024,5.6,1.7
provinsi,13,,17,2024,7.27,1.94
provinsi,13,,1,2025,4.14,21.46
provinsi,13,,2,2025,0.95,3.75
provinsi,13,,3,2025,5.38,9.15
provinsi,13,,4,2025,0.85,0.1
provinsi,13,,5,2025,0.38,0.09
provinsi,13,,6,2025,-1.4,8.79
provinsi,13,,7,2025,3.71,16.8
provinsi,13,,8,2025,-0.01,10.31
provinsi,13,,9,2025,3.22,1.16
provinsi,13,,10,2025,5.28,9.22
provinsi,13,,11,2025,7.55,3.12
provinsi,13,,12,2025,5.78,2.12
provinsi,13,,13,2025,5.22,0.46
provinsi,13,,14,2025,1.96,5.54
provinsi,13,,15,2025,4.35,4.12
provinsi,13,,16,2025,8.09,1.78
provinsi,13,,17,2025,8.5,2.04
provinsi,14,,1,2021,0,27.78
provinsi,14,,2,2021,0,15.34
provinsi,14,,3,2021,0,32.07
provinsi,14,,4,2021,0,0.08
provinsi,14,,5,2021,0,0.01
provinsi,14,,6,2021,0,8.42
provinsi,14,,7,2021,0,9.25
provinsi,14,,8,2021,0,0.66
provinsi,14,,9,2021,0,0.43
provinsi,14,,10,2021,0,1.13
provinsi,14,,11,2021,0,0.99
provinsi,14,,12,2021,0,0.96
provinsi,14,,13,2021,0,0
provinsi,14,,14,2021,0,1.65
provinsi,14,,15,2021,0,0.53
provinsi,14,,16,2021,0,0.26
provinsi,14,,17,2021,0,0.44
provinsi,14,,1,2022,2.82,27.32
provinsi,14,,2,2022,1.36,14.87
provinsi,14,,3,2022,4.73,32.13
provinsi,14,,4,2022,14.34,0.08
provinsi,14,,5,2022,4.5,0.01
provinsi,14,,6,2022,4.76,8.43
provinsi,14,,7,2022,11.9,9.9
provinsi,14,,8,2022,18.58,0.75
provinsi,14,,9,2022,10.9,0.45
provinsi,14,,10,2022,6.83,1.15
provinsi,14,,11,2022,4.96,1
provinsi,14,,12,2022,5.48,0.96
provinsi,14,,13,2022,12.77,0
provinsi,14,,14,2022,5.98,1.68
provinsi,14,,15,2022,3.92,0.52
provinsi,14,,16,2022,2.48,0.26
provinsi,14,,17,2022,12.93,0.47
provinsi,14,,1,2023,3.23,27.07
provinsi,14,,2,2023,2.52,14.63
provinsi,14,,3,2023,3.63,31.95
provinsi,14,,4,2023,1.45,0.08
provinsi,14,,5,2023,5.52,0.01
provinsi,14,,6,2023,9.17,8.84
provinsi,14,,7,2023,6.12,10.08
provinsi,14,,8,2023,8.31,0.78
provinsi,14,,9,2023,4.22,0.45
provinsi,14,,10,2023,7.67,1.19
provinsi,14,,11,2023,4.07,1
provinsi,14,,12,2023,3.94,0.96
provinsi,14,,13,2023,6.61,0
provinsi,14,,14,2023,5.4,1.7
provinsi,14,,15,2023,3.76,0.52
provinsi,14,,16,2023,6.97,0.26
provinsi,14,,17,2023,6.26,0.48
provinsi,14,,1,2024,2.23,26.73
provinsi,14,,2,2024,0.36,14.18
provinsi,14,,3,2024,3.72,32.01
provinsi,14,,4,2024,6.99,0.08
provinsi,14,,5,2024,3.7,0.01
provinsi,14,,6,2024,6.52,9.09
provinsi,14,,7,2024,6.05,10.33
provinsi,14,,8,2024,6.55,0.8
provinsi,14,,9,2024,10.7,0.48
provinsi,14,,10,2024,7.56,1.24
provinsi,14,,11,2024,1.3,0.97
provinsi,14,,12,2024,3.85,0.96
provinsi,14,,13,2024,8.34,0.01
provinsi,14,,14,2024,9.45,1.79
provinsi,14,,15,2024,4.42,0.53
provinsi,14,,16,2024,6.62,0.27
provinsi,14,,17,2024,7.54,0.5
provinsi,14,,1,2025,4.9,26.76
provinsi,14,,2,2025,0.12,13.55
provinsi,14,,3,2025,6.39,32.5
provinsi,14,,4,2025,4.96,0.08
provinsi,14,,5,2025,6.96,0.01
provinsi,14,,6,2025,5.03,9.11
provinsi,14,,7,2025,5.25,10.37
provinsi,14,,8,2025,3.6,0.79
provinsi,14,,9,2025,4.03,0.48
provinsi,14,,10,2025,5.82,1.25
provinsi,14,,11,2025,4.48,0.97
provinsi,14,,12,2025,3.86,0.96
provinsi,14,,13,2025,9.44,0.01
provinsi,14,,14,2025,4.82,1.79
provinsi,14,,15,2025,8.78,0.55
provinsi,14,,16,2025,8.77,0.28
provinsi,14,,17,2025,11.41,0.53
provinsi,15,,1,2021,0,26.79
provinsi,15,,2,2021,0,23.22
provinsi,15,,3,2021,0,10.22
provinsi,15,,4,2021,0,0.06
provinsi,15,,5,2021,0,0.14
provinsi,15,,6,2021,0,7.82
provinsi,15,,7,2021,0,9.78
provinsi,15,,8,2021,0,2.88
provinsi,15,,9,2021,0,1.08
provinsi,15,,10,2021,0,4.12
provinsi,15,,11,2021,0,2.39
provinsi,15,,12,2021,0,1.48
provinsi,15,,13,2021,0,1
provinsi,15,,14,2021,0,3.2
provinsi,15,,15,2021,0,3.39
provinsi,15,,16,2021,0,1.44
provinsi,15,,17,2021,0,0.99
provinsi,15,,1,2022,5,26.75
provinsi,15,,2,2022,7.76,23.81
provinsi,15,,3,2022,3.09,10.02
provinsi,15,,4,2022,11.66,0.06
provinsi,15,,5,2022,3.14,0.14
provinsi,15,,6,2022,-0.88,7.37
provinsi,15,,7,2022,5.4,9.81
provinsi,15,,8,2022,16.96,3.21
provinsi,15,,9,2022,11.09,1.14
provinsi,15,,10,2022,7.25,4.2
provinsi,15,,11,2022,-0.72,2.26
provinsi,15,,12,2022,4.22,1.47
provinsi,15,,13,2022,15.13,1.1
provinsi,15,,14,2022,-0.64,3.03
provinsi,15,,15,2022,2.02,3.29
provinsi,15,,16,2022,-2.31,1.34
provinsi,15,,17,2022,7.81,1.01
provinsi,15,,1,2023,5.62,27
provinsi,15,,2,2023,0.04,22.76
provinsi,15,,3,2023,4.19,9.98
provinsi,15,,4,2023,12.15,0.06
provinsi,15,,5,2023,0.21,0.13
provinsi,15,,6,2023,7.98,7.6
provinsi,15,,7,2023,8.76,10.19
provinsi,15,,8,2023,8.29,3.32
provinsi,15,,9,2023,8.76,1.19
provinsi,15,,10,2023,7.5,4.32
provinsi,15,,11,2023,1.22,2.18
provinsi,15,,12,2023,3.3,1.45
provinsi,15,,13,2023,16.84,1.22
provinsi,15,,14,2023,3.03,2.98
provinsi,15,,15,2023,2.54,3.22
provinsi,15,,16,2023,4.66,1.34
provinsi,15,,17,2023,8.55,1.05
provinsi,15,,1,2024,4.26,26.94
provinsi,15,,2,2024,-0.92,21.58
provinsi,15,,3,2024,4.73,10
provinsi,15,,4,2024,7.65,0.07
provinsi,15,,5,2024,1.96,0.13
provinsi,15,,6,2024,9.83,7.99
provinsi,15,,7,2024,6.15,10.35
provinsi,15,,8,2024,8.19,3.44
provinsi,15,,9,2024,9.64,1.24
provinsi,15,,10,2024,5.24,4.35
provinsi,15,,11,2024,2.32,2.14
provinsi,15,,12,2024,5.3,1.46
provinsi,15,,13,2024,9.53,1.28
provinsi,15,,14,2024,11.42,3.18
provinsi,15,,15,2024,8.46,3.35
provinsi,15,,16,2024,10.96,1.42
provinsi,15,,17,2024,8.2,1.09
provinsi,15,,1,2025,5.49,27.08
provinsi,15,,2,2025,5.98,21.79
provinsi,15,,3,2025,5.1,10.02
provinsi,15,,4,2025,7.06,0.07
provinsi,15,,5,2025,1.77,0.12
provinsi,15,,6,2025,-4.14,7.3
provinsi,15,,7,2025,7.76,10.63
provinsi,15,,8,2025,8.88,3.57
provinsi,15,,9,2025,3.04,1.22
