Tahun,Provinsi,Nilai Investasi
2011,Sumatera Utara,33138000000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,19478200000
2011,Sumatera Utara,1792300000
2011,Sumatera Utara,0
2011,Sumatera Utara,26961600000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,9546600000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,136700000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,1929000000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,29063700000
2011,Sumatera Utara,184208400000
2011,Sumatera Utara,4169300000
2011,Sumatera Utara,253200000
2011,Sumatera Utara,37379400000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,1789000000
2011,Sumatera Utara,50000000
2011,Sumatera Utara,48814700000
2011,Sumatera Utara,56024400000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,225000000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,31545100000
2011,Sumatera Utara,0
2011,Sumatera Utara,310299000000
2011,Sumatera Utara,0
2011,Sumatera Utara,15716100000
2011,Sumatera Utara,35600000
2011,Sumatera Utara,4696800000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,429100000
2011,Sumatera Utara,26159400000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,4738300000
2011,Sumatera Utara,4500000000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
2011,Sumatera Utara,84812100000
2011,Sumatera Utara,7096100000
2011,Sumatera Utara,0
2011,Sumatera Utara,0
