kab_id,sektor_id,tahun,nilai
12.03,1,2021,4608880000000
12.03,2,2021,1178900000000
12.03,3,2021,595620000000
12.03,4,2021,7080000000
12.03,5,2021,8560000000
12.03,6,2021,1129890000000
12.03,7,2021,1130440000000
12.03,8,2021,144130000000
12.03,9,2021,135420000000
12.03,10,2021,75760000000
12.03,11,2021,85430000000
12.03,12,2021,198040000000
12.03,13,2021,4800000000
12.03,14,2021,574520000000
12.03,15,2021,77520000000
12.03,16,2021,78530000000
12.03,17,2021,3200000000
12.03,1,2022,4926720000000
12.03,2,2022,1179640000000
12.03,3,2022,621710000000
12.03,4,2022,7520000000
12.03,5,2022,9120000000
12.03,6,2022,1137400000000
12.03,7,2022,1198150000000
12.03,8,2022,156870000000
12.03,9,2022,145470000000
12.03,10,2022,81790000000
12.03,11,2022,89720000000
12.03,12,2022,204080000000
12.03,13,2022,4940000000
12.03,14,2022,587620000000
12.03,15,2022,81060000000
12.03,16,2022,80840000000
12.03,17,2022,3370000000
12.03,1,2023,5177630000000
12.03,2,2023,1167000000000
12.03,3,2023,658560000000
12.03,4,2023,7990000000
12.03,5,2023,9740000000
12.03,6,2023,1217350000000
12.03,7,2023,1286590000000
12.03,8,2023,177220000000
12.03,9,2023,158530000000
12.03,10,2023,88310000000
12.03,11,2023,94750000000
12.03,12,2023,213790000000
12.03,13,2023,5270000000
12.03,14,2023,614160000000
12.03,15,2023,87440000000
12.03,16,2023,85880000000
12.03,17,2023,3640000000
12.03,1,2024,5446890000000
12.03,2,2024,1196970000000
12.03,3,2024,694150000000
12.03,4,2024,8290000000
12.03,5,2024,10110000000
12.03,6,2024,1253980000000
12.03,7,2024,1380100000000
12.03,8,2024,194180000000
12.03,9,2024,175380000000
12.03,10,2024,95330000000
12.03,11,2024,97790000000
12.03,12,2024,224120000000
12.03,13,2024,5560000000
12.03,14,2024,647140000000
12.03,15,2024,93410000000
12.03,16,2024,93030000000
12.03,17,2024,3890000000
12.03,1,2025,5757040000000
12.03,2,2025,1195760000000
12.03,3,2025,722620000000
12.03,4,2025,8370000000
12.03,5,2025,10630000000
12.03,6,2025,1262530000000
12.03,7,2025,1466920000000
12.03,8,2025,215200000000
12.03,9,2025,186020000000
12.03,10,2025,102830000000
12.03,11,2025,99570000000
12.03,12,2025,242630000000
12.03,13,2025,6140000000
12.03,14,2025,653280000000
12.03,15,2025,96320000000
12.03,16,2025,100030000000
12.03,17,2025,4050000000
12.04,1,2021,1350000000000
12.04,2,2021,241000000000
12.04,3,2021,5000000000
12.04,4,2021,3000000000
12.04,5,2021,
12.04,6,2021,281000000000
12.04,7,2021,227000000000
12.04,8,2021,37000000000
12.04,9,2021,48000000000
12.04,10,2021,7000000000
12.04,11,2021,37000000000
12.04,12,2021,50000000000
12.04,13,2021,2000000000
12.04,14,2021,316000000000
12.04,15,2021,37000000000
12.04,16,2021,20000000000
12.04,17,2021,5000000000
12.04,1,2022,1403000000000
12.04,2,2022,250000000000
12.04,3,2022,6000000000
12.04,4,2022,3000000000
12.04,5,2022,
12.04,6,2022,282000000000
12.04,7,2022,237000000000
12.04,8,2022,38000000000
12.04,9,2022,49000000000
12.04,10,2022,8000000000
12.04,11,2022,38000000000
12.04,12,2022,50000000000
12.04,13,2022,2000000000
12.04,14,2022,318000000000
12.04,15,2022,39000000000
12.04,16,2022,21000000000
12.04,17,2022,5000000000
12.04,1,2023,1455000000000
12.04,2,2023,264000000000
12.04,3,2023,6000000000
12.04,4,2023,3000000000
12.04,5,2023,
12.04,6,2023,290000000000
12.04,7,2023,249000000000
12.04,8,2023,40000000000
12.04,9,2023,51000000000
12.04,10,2023,8000000000
12.04,11,2023,40000000000
12.04,12,2023,51000000000
12.04,13,2023,2000000000
12.04,14,2023,327000000000
12.04,15,2023,40000000000
12.04,16,2023,21000000000
12.04,17,2023,5000000000
