tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,n_nij,c_cij,s_sij,d_dij,keunggulan_kompetitif,spesialisasi
provinsi,21,,12,2022,2023,118882282551.58,-85231035149.18,89738752597.6,123390000000,1,0
provinsi,21,,13,2022,2023,334065344.4,210926148.1,665008507.5,1210000000,1,1
provinsi,21,,14,2022,2023,210418208491.95,-147459897626.35,150581689134.4,213540000000,1,0
provinsi,21,,15,2022,2023,113997650851.72,-74013258736.73,47375607885,87360000000,1,0
provinsi,21,,16,2022,2023,95304647987.53,-7330109724.3,-178804538263.23,-90830000000,0,0
provinsi,21,,17,2022,2023,23439156645.19,25335776030.15,51005067324.66,99780000000,1,1
provinsi,21,,1,2023,2024,290893778203.28,-252401257861.98,-5952520341.3,32540000000,0,0
provinsi,21,,2,2023,2024,1145967938632.6,-49106632877.82,-2852131305754.8,-1755270000000,0,0
provinsi,21,,3,2023,2024,4158239058010.1,-557841677042.18,2713332619032,6313730000000,1,0
provinsi,21,,4,2023,2024,106029701205.74,-7042883125.47,50323181919.73,149310000000,1,0
provinsi,21,,5,2023,2024,12712598658.88,-8811168132.42,1028569473.54,4930000000,1,0
provinsi,21,,6,2023,2024,1973186491830,734105746201.29,-488042238031.31,2219250000000,0,1
provinsi,21,,7,2023,2024,838037252884.85,-37246311930.87,115549059046.03,916340000000,1,0
provinsi,21,,8,2023,2024,204529325566.66,142834797668.08,-246994123234.74,100370000000,0,1
provinsi,21,,9,2023,2024,229862461902.82,150318798988.29,-190831260891.11,189350000000,0,1
provinsi,21,,10,2023,2024,393963718850.65,189424261131.14,-587867979981.78,-4480000000,0,1
provinsi,21,,11,2023,2024,279782529174.31,-20729307309.26,146466778134.96,405520000000,1,0
provinsi,21,,12,2023,2024,126617605390.42,-64774486135.41,76636880744.99,138480000000,1,0
provinsi,21,,13,2023,2024,399953820.05,255551645.61,-265505465.66,390000000,0,1
provinsi,21,,14,2023,2024,223861108802.43,57579600375.68,500339290821.88,781780000000,1,1
provinsi,21,,15,2023,2024,119831688146.86,-31740474089.55,4238785942.69,92330000000,1,0
provinsi,21,,16,2023,2024,91801165049.88,54053901403.93,205934933546.19,351790000000,1,1
provinsi,21,,17,2023,2024,28823270438.52,26394435438.99,34652294122.49,89870000000,1,1
provinsi,21,,1,2024,2025,295326794369.97,9346545126.32,-104943339496.3,199730000000,0,1
provinsi,21,,2,2024,2025,1066190458896.6,-1202653078480.2,3441732619583.6,3305270000000,1,0
provinsi,21,,3,2024,2025,4523564193198.4,117862473973.06,1944743332828.5,6586170000000,1,1
provinsi,21,,4,2024,2025,114741891868.89,-45827080918.64,161515189049.75,230430000000,1,0
provinsi,21,,5,2024,2025,13087441300.67,-10701264913.65,27263823612.98,29650000000,1,0
provinsi,21,,6,2024,2025,2106438365799.9,-550006630567.37,606288264767.45,2162720000000,1,0
provinsi,21,,7,2024,2025,893278145656.17,56978498645.86,355293355697.97,1305550000000,1,1
provinsi,21,,8,2024,2025,211646988516.84,148263771379.09,-65380759895.93,294530000000,0,1
provinsi,21,,9,2024,2025,241813827255.97,105205934635.37,-212409761891.34,134610000000,0,1
provinsi,21,,10,2024,2025,397460878571.41,245219750491.81,-846400629063.22,-203720000000,0,1
provinsi,21,,11,2024,2025,303366982281.74,-70864056067.6,9007073785.87,241510000000,1,0
provinsi,21,,12,2024,2025,134965496870.6,-41382832102.62,55787335232.02,149370000000,1,0
provinsi,21,,13,2024,2025,423874287.26,322866789.44,633258923.3,1380000000,1,1
provinsi,21,,14,2024,2025,266342260281.07,-67227756431.11,-274194503849.96,-75080000000,0,0
provinsi,21,,15,2024,2025,125732678503.81,-4169096587.32,11956418083.51,133520000000,1,0
provinsi,21,,16,2024,2025,110832542169.55,9260722418.52,-62843264588.07,57250000000,0,1
provinsi,21,,17,2024,2025,33735953170.13,31118831415.46,-52034784585.58,12820000000,0,1
provinsi,16,,1,2021,2022,2712827873573.6,-1476395320692.8,855767447119.19,2092200000000,1,0
provinsi,16,,2,2021,2022,3565601629622,-405430121673.16,1364838492051.1,4525010000000,1,0
provinsi,16,,3,2021,2022,2996648945799.9,-33287703893.83,-227171241906.1,2736190000000,0,0
provinsi,16,,4,2021,2022,20671792002.12,6941907257.25,-21513699259.37,6100000000,0,1
provinsi,16,,5,2021,2022,17969577567.99,-6222682525,-9336895043,2410000000,0,0
provinsi,16,,6,2021,2022,1814256480692.3,-1075596330882.4,-274240149809.84,464420000000,0,0
provinsi,16,,7,2021,2022,1733297898775.5,204069281885.66,1662242819338.9,3599610000000,1,1
