tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori,persen_daerah,persen_acuan
provinsi,14,,1,2024,2.257,Basis,26.73,11.84
provinsi,14,,2,2024,1.8359,Basis,14.18,7.73
provinsi,14,,3,2024,1.5114,Basis,32.01,21.18
provinsi,14,,4,2024,0.0769,"Non Basis",0.08,1.09
provinsi,14,,5,2024,0.1594,"Non Basis",0.01,0.09
provinsi,14,,6,2024,0.8903,"Non Basis",9.09,10.21
provinsi,14,,7,2024,0.759,"Non Basis",10.33,13.61
provinsi,14,,8,2024,0.1644,"Non Basis",0.8,4.88
provinsi,14,,9,2024,0.1443,"Non Basis",0.48,3.36
provinsi,14,,10,2024,0.1759,"Non Basis",1.24,7.02
provinsi,14,,11,2024,0.2317,"Non Basis",0.97,4.2
provinsi,14,,12,2024,0.3385,"Non Basis",0.96,2.85
provinsi,14,,13,2024,0.0026,"Non Basis",0.01,2.03
provinsi,14,,14,2024,0.5493,"Non Basis",1.79,3.26
provinsi,14,,15,2024,0.1749,"Non Basis",0.53,3.01
provinsi,14,,16,2024,0.1827,"Non Basis",0.27,1.48
provinsi,14,,17,2024,0.2322,"Non Basis",0.5,2.16
provinsi,14,,1,2025,2.2558,Basis,26.76,11.86
provinsi,14,,2,2025,1.8569,Basis,13.55,7.3
provinsi,14,,3,2025,1.5325,Basis,32.5,21.21
provinsi,14,,4,2025,0.0786,"Non Basis",0.08,1.07
provinsi,14,,5,2025,0.1695,"Non Basis",0.01,0.08
provinsi,14,,6,2025,0.9039,"Non Basis",9.11,10.08
provinsi,14,,7,2025,0.76,"Non Basis",10.37,13.65
provinsi,14,,8,2025,0.1572,"Non Basis",0.79,5.04
provinsi,14,,9,2025,0.1402,"Non Basis",0.48,3.43
provinsi,14,,10,2025,0.1724,"Non Basis",1.25,7.24
provinsi,14,,11,2025,0.2337,"Non Basis",0.97,4.16
provinsi,14,,12,2025,0.3406,"Non Basis",0.96,2.81
provinsi,14,,13,2025,0.0026,"Non Basis",0.01,2.11
provinsi,14,,14,2025,0.5564,"Non Basis",1.79,3.22
provinsi,14,,15,2025,0.1819,"Non Basis",0.55,3.01
provinsi,14,,16,2025,0.1889,"Non Basis",0.28,1.48
provinsi,14,,17,2025,0.2361,"Non Basis",0.53,2.25
provinsi,15,,1,2021,2.0352,Basis,26.79,13.16
provinsi,15,,2,2021,3.0141,Basis,23.22,7.71
provinsi,15,,3,2021,0.4774,"Non Basis",10.22,21.41
provinsi,15,,4,2021,0.0525,"Non Basis",0.06,1.08
