tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori_lq,shift_share_net,klasifikasi_sektor
provinsi,21,,12,2023,0.4236,"Non Basis",89738752597.6,"Potensial / Cepat Berkembang"
provinsi,21,,13,2023,0.002,"Non Basis",665008507.5,"Potensial / Cepat Berkembang"
provinsi,21,,14,2023,0.6794,"Non Basis",150581689134.4,"Potensial / Cepat Berkembang"
provinsi,21,,15,2023,0.3842,"Non Basis",47375607885,"Potensial / Cepat Berkembang"
provinsi,21,,16,2023,0.6252,"Non Basis",-178804538263.23,"Relatif Tertinggal"
provinsi,21,,17,2023,0.1365,"Non Basis",51005067324.66,"Potensial / Cepat Berkembang"
provinsi,21,,1,2024,0.2301,"Non Basis",-5952520341.3,"Relatif Tertinggal"
provinsi,21,,2,2024,1.2733,Basis,-2852131305754.8,"Maju tapi Tertekan"
provinsi,21,,3,2024,1.9705,Basis,2713332619032,"Maju dan Tumbuh Cepat"
provinsi,21,,4,2024,0.9725,"Non Basis",50323181919.73,"Potensial / Cepat Berkembang"
provinsi,21,,5,2024,1.3684,Basis,1028569473.54,"Maju dan Tumbuh Cepat"
provinsi,21,,6,2024,1.9029,Basis,-488042238031.31,"Maju tapi Tertekan"
provinsi,21,,7,2024,0.6056,"Non Basis",115549059046.03,"Potensial / Cepat Berkembang"
provinsi,21,,8,2024,0.4004,"Non Basis",-246994123234.74,"Relatif Tertinggal"
provinsi,21,,9,2024,0.6647,"Non Basis",-190831260891.11,"Relatif Tertinggal"
provinsi,21,,10,2024,0.5221,"Non Basis",-587867979981.78,"Relatif Tertinggal"
provinsi,21,,11,2024,0.6659,"Non Basis",146466778134.96,"Potensial / Cepat Berkembang"
provinsi,21,,12,2024,0.4368,"Non Basis",76636880744.99,"Potensial / Cepat Berkembang"
provinsi,21,,13,2024,0.0019,"Non Basis",-265505465.66,"Relatif Tertinggal"
provinsi,21,,14,2024,0.7531,"Non Basis",500339290821.88,"Potensial / Cepat Berkembang"
provinsi,21,,15,2024,0.3852,"Non Basis",4238785942.69,"Potensial / Cepat Berkembang"
provinsi,21,,16,2024,0.6922,"Non Basis",205934933546.19,"Potensial / Cepat Berkembang"
provinsi,21,,17,2024,0.1443,"Non Basis",34652294122.49,"Potensial / Cepat Berkembang"
provinsi,21,,1,2025,0.2223,"Non Basis",-104943339496.3,"Relatif Tertinggal"
provinsi,21,,2,2025,1.4622,Basis,3441732619583.6,"Maju dan Tumbuh Cepat"
provinsi,21,,3,2025,1.9786,Basis,1944743332828.5,"Maju dan Tumbuh Cepat"
provinsi,21,,4,2025,1.0238,Basis,161515189049.75,"Maju dan Tumbuh Cepat"
provinsi,21,,5,2025,1.4891,Basis,27263823612.98,"Maju dan Tumbuh Cepat"
provinsi,21,,6,2025,1.8981,Basis,606288264767.45,"Maju dan Tumbuh Cepat"
provinsi,21,,7,2025,0.6072,"Non Basis",355293355697.97,"Potensial / Cepat Berkembang"
provinsi,21,,8,2025,0.3879,"Non Basis",-65380759895.93,"Relatif Tertinggal"
provinsi,21,,9,2025,0.626,"Non Basis",-212409761891.34,"Relatif Tertinggal"
provinsi,21,,10,2025,0.4613,"Non Basis",-846400629063.22,"Relatif Tertinggal"
provinsi,21,,11,2025,0.6558,"Non Basis",9007073785.87,"Potensial / Cepat Berkembang"
provinsi,21,,12,2025,0.4384,"Non Basis",55787335232.02,"Potensial / Cepat Berkembang"
provinsi,21,,13,2025,0.002,"Non Basis",633258923.3,"Potensial / Cepat Berkembang"
provinsi,21,,14,2025,0.7027,"Non Basis",-274194503849.96,"Relatif Tertinggal"
provinsi,21,,15,2025,0.3806,"Non Basis",11956418083.51,"Potensial / Cepat Berkembang"
