provinsi_id,sektor_id,tahun,nilai
21,2,2022,23015610000000
21,3,2022,79348160000000
21,4,2022,1919010000000
21,5,2022,237960000000
21,6,2022,34917260000000
21,7,2022,15477620000000
21,8,2022,3479880000000
21,9,2022,3530110000000
21,10,2022,6421120000000
21,11,2022,5035020000000
21,12,2022,2352270000000
21,13,2022,6610000000
21,14,2022,4163450000000
21,15,2022,2255620000000
21,16,2022,1885750000000
21,17,2022,463780000000
21,1,2023,5687630000000
21,2,2023,22406260000000
21,3,2023,81302960000000
21,4,2023,2073120000000
21,5,2023,248560000000
21,6,2023,38580250000000
21,7,2023,16385520000000
21,8,2023,3999010000000
21,9,2023,4494330000000
21,10,2023,7702880000000
21,11,2023,5470380000000
21,12,2023,2475660000000
21,13,2023,7820000000
21,14,2023,4376990000000
21,15,2023,2342980000000
21,16,2023,1794920000000
21,17,2023,563560000000
21,1,2024,5720170000000
21,2,2024,20650990000000
21,3,2024,87616690000000
21,4,2024,2222430000000
21,5,2024,253490000000
21,6,2024,40799500000000
21,7,2024,17301860000000
21,8,2024,4099380000000
21,9,2024,4683680000000
21,10,2024,7698400000000
21,11,2024,5875900000000
21,12,2024,2614140000000
21,13,2024,8210000000
21,14,2024,5158770000000
21,15,2024,2435310000000
21,16,2024,2146710000000
21,17,2024,653430000000
21,1,2025,5919900000000
21,2,2025,23956260000000
21,3,2025,94202860000000
21,4,2025,2452860000000
21,5,2025,283140000000
21,6,2025,42962220000000
21,7,2025,18607410000000
21,8,2025,4393910000000
21,9,2025,4818290000000
21,10,2025,7494680000000
21,11,2025,6117410000000
21,12,2025,2763510000000
21,13,2025,9590000000
21,14,2025,5083690000000
21,15,2025,2568830000000
21,16,2025,2203960000000
21,17,2025,666250000000
16,1,2021,54834530000000
16,2,2021,72071690000000
16,3,2021,60571420000000
16,4,2021,417840000000
16,5,2021,363220000000
16,6,2021,36671660000000
16,7,2021,35035240000000
16,8,2021,5972040000000
16,9,2021,4556740000000
16,10,2021,12951750000000
16,11,2021,7790890000000
16,12,2021,10807860000000
16,13,2021,360300000000
16,14,2021,10260460000000
16,15,2021,8613700000000
16,16,2021,2400140000000
16,17,2021,2725730000000
16,1,2022,56926730000000
16,2,2022,76596700000000
16,3,2022,63307610000000
16,4,2022,423940000000
16,5,2022,365630000000
16,6,2022,37136080000000
16,7,2022,38634850000000
16,8,2022,6666770000000
16,9,2022,5225370000000
16,10,2022,14003880000000
16,11,2022,7744090000000
16,12,2022,11373070000000
16,13,2022,370750000000
16,14,2022,10639940000000
16,15,2022,8806970000000
16,16,2022,2499670000000
16,17,2022,2781580000000
16,1,2023,58154460000000
16,2,2023,82688480000000
16,3,2023,65761470000000
16,4,2023,442180000000
16,5,2023,366020000000
16,6,2023,38455690000000
16,7,2023,41413670000000
16,8,2023,7166940000000
16,9,2023,5912060000000
16,10,2023,14892480000000
16,11,2023,8100350000000
16,12,2023,11860290000000
16,13,2023,378280000000
16,14,2023,11036990000000
16,15,2023,9003080000000
16,16,2023,2499190000000
16,17,2023,2835790000000
16,1,2024,59555280000000
16,2,2024,85424440000000
16,3,2024,68741770000000
16,4,2024,480120000000
16,5,2024,376570000000
16,6,2024,40721530000000
16,7,2024,44514930000000
16,8,2024,7412990000000
16,9,2024,6467360000000
16,10,2024,16209520000000
16,11,2024,8672330000000
16,12,2024,12829260000000
16,13,2024,397880000000
16,14,2024,12068770000000
16,15,2024,9611460000000
16,16,2024,2682720000000
16,17,2024,2952690000000
16,1,2025,63001260000000
16,2,2025,88347300000000
16,3,2025,71873300000000
16,4,2025,513140000000
16,5,2025,380900000000
16,6,2025,43177270000000
16,7,2025,48291850000000
16,8,2025,7785810000000
16,9,2025,7091970000000
16,10,2025,17198310000000
16,11,2025,9060050000000
16,12,2025,13828090000000
16,13,2025,422190000000
16,14,2025,12479430000000
16,15,2025,10022860000000
16,16,2025,2838150000000
16,17,2025,3073940000000
18,1,2021,67969860000000
18,2,2021,12796980000000
18,3,2021,46415320000000
18,4,2021,403520000000
18,5,2021,272880000000
18,6,2021,25318790000000
18,7,2021,30580040000000
18,8,2021,12468640000000
18,9,2021,3426130000000
18,10,2021,13816170000000
18,11,2021,5211350000000
18,12,2021,7426510000000
18,13,2021,333250000000
18,14,2021,8127360000000
18,15,2021,7476890000000
18,16,2021,2768280000000
18,17,2021,2154520000000
18,1,2022,69317660000000
18,2,2022,12319250000000
18,3,2022,46589530000000
18,4,2022,428790000000
18,5,2022,283020000000
18,6,2022,26295370000000
18,7,2022,35294470000000
18,8,2022,15001520000000
18,9,2022,3858290000000
18,10,2022,13882720000000
18,11,2022,5021150000000
18,12,2022,7680180000000
18,13,2022,391520000000
18,14,2022,8024950000000
18,15,2022,7677550000000
