kab_id,sektor_id,tahun,nilai
21.04,10,2023,153450000000
21.04,11,2023,28710000000
21.04,12,2023,80820000000
21.04,13,2023,30000000
21.04,14,2023,240050000000
21.04,15,2023,215930000000
21.04,16,2023,100240000000
21.04,17,2023,22310000000
21.04,1,2024,712310000000
21.04,2,2024,159030000000
21.04,3,2024,24060000000
21.04,4,2024,10050000000
21.04,5,2024,990000000
21.04,6,2024,684060000000
21.04,7,2024,743670000000
21.04,8,2024,53460000000
21.04,9,2024,99250000000
21.04,10,2024,155250000000
21.04,11,2024,29370000000
21.04,12,2024,84290000000
21.04,13,2024,30000000
21.04,14,2024,257950000000
21.04,15,2024,218300000000
21.04,16,2024,101750000000
21.04,17,2024,23600000000
21.02,1,2021,1473450000000
21.02,2,2021,1010730000000
21.02,3,2021,1235090000000
21.02,4,2021,28530000000
21.02,5,2021,4150000000
21.02,6,2021,1852570000000
21.02,7,2021,1542520000000
21.02,8,2021,232220000000
21.02,9,2021,171540000000
21.02,10,2021,371110000000
21.02,11,2021,161220000000
21.02,12,2021,296370000000
21.02,13,2021,1710000000
21.02,14,2021,342160000000
21.02,15,2021,305360000000
21.02,16,2021,199900000000
21.02,17,2021,104140000000
21.02,1,2022,1503410000000
21.02,2,2022,975930000000
21.02,3,2022,1269550000000
21.02,4,2022,31520000000
21.02,5,2022,4370000000
21.02,6,2022,1923170000000
21.02,7,2022,1676090000000
21.02,8,2022,283170000000
21.02,9,2022,219800000000
21.02,10,2022,390390000000
21.02,11,2022,165060000000
21.02,12,2022,306630000000
21.02,13,2022,1840000000
21.02,14,2022,349050000000
21.02,15,2022,313140000000
21.02,16,2022,204880000000
21.02,17,2022,123860000000
21.02,1,2023,1552780000000
21.02,2,2023,955900000000
21.02,3,2023,1366480000000
21.02,4,2023,35000000000
21.02,5,2023,4400000000
21.02,6,2023,1958480000000
21.02,7,2023,1800800000000
21.02,8,2023,341000000000
21.02,9,2023,258850000000
21.02,10,2023,486260000000
21.02,11,2023,177490000000
21.02,12,2023,318800000000
21.02,13,2023,2100000000
21.02,14,2023,363410000000
21.02,15,2023,325460000000
21.02,16,2023,186560000000
21.02,17,2023,143830000000
21.02,1,2024,1536840000000
21.02,2,2024,946860000000
21.02,3,2024,1724900000000
21.02,4,2024,38370000000
21.02,5,2024,4550000000
21.02,6,2024,2010410000000
21.02,7,2024,1888100000000
21.02,8,2024,357650000000
21.02,9,2024,284140000000
21.02,10,2024,509940000000
21.02,11,2024,186960000000
21.02,12,2024,334720000000
21.02,13,2024,2110000000
21.02,14,2024,425310000000
21.02,15,2024,335580000000
21.02,16,2024,200140000000
21.02,17,2024,154000000000
21.02,1,2025,1640620000000
21.02,2,2025,951400000000
21.02,3,2025,1842160000000
21.02,4,2025,42420000000
21.02,5,2025,5030000000
21.02,6,2025,2115700000000
21.02,7,2025,2027770000000
21.02,8,2025,394670000000
21.02,9,2025,304810000000
21.02,10,2025,515030000000
21.02,11,2025,193390000000
21.02,12,2025,352000000000
21.02,13,2025,2270000000
21.02,14,2025,430970000000
21.02,15,2025,353130000000
21.02,16,2025,207230000000
21.02,17,2025,156970000000
21.01,1,2021,933660000000
21.01,2,2021,667280000000
21.01,3,2021,5587470000000
21.01,4,2021,21160000000
21.01,5,2021,8770000000
21.01,6,2021,3050920000000
21.01,7,2021,1360790000000
21.01,8,2021,314920000000
21.01,9,2021,527900000000
21.01,10,2021,222590000000
21.01,11,2021,258960000000
21.01,12,2021,180990000000
21.01,13,2021,120000000
21.01,14,2021,347550000000
21.01,15,2021,268980000000
21.01,16,2021,158560000000
21.01,17,2021,22860000000
21.01,1,2022,969930000000
21.01,2,2022,426040000000
21.01,3,2022,6493920000000
21.01,4,2022,21840000000
21.01,5,2022,9090000000
21.01,6,2022,3075020000000
21.01,7,2022,1411650000000
21.01,8,2022,335240000000
21.01,9,2022,746480000000
21.01,10,2022,229030000000
21.01,11,2022,262940000000
21.01,12,2022,185880000000
21.01,13,2022,130000000
21.01,14,2022,363090000000
21.01,15,2022,278270000000
21.01,16,2022,166420000000
21.01,17,2022,25760000000
21.01,1,2023,1005070000000
21.01,2,2023,378280000000
21.01,3,2023,7182660000000
21.01,4,2023,23790000000
21.01,5,2023,9410000000
21.01,6,2023,3141910000000
21.01,7,2023,1562750000000
21.01,8,2023,423080000000
21.01,9,2023,989780000000
21.01,10,2023,228290000000
21.01,11,2023,275810000000
21.01,12,2023,188950000000
21.01,13,2023,150000000
21.01,14,2023,368380000000
21.01,15,2023,292640000000
21.01,16,2023,146250000000
21.01,17,2023,32250000000
21.01,1,2024,1023940000000
21.01,2,2024,249280000000
21.01,3,2024,8098660000000
21.01,4,2024,25340000000
21.01,5,2024,9820000000
21.01,6,2024,3377270000000
21.01,7,2024,1702280000000
21.01,8,2024,434900000000
21.01,9,2024,1083590000000
21.01,10,2024,241130000000
21.01,11,2024,284890000000
21.01,12,2024,189000000000
21.01,13,2024,150000000
21.01,14,2024,470440000000
21.01,15,2024,317170000000
21.01,16,2024,150740000000
21.01,17,2024,35110000000
21.01,1,2025,1034250000000
21.01,2,2025,309120000000
21.01,3,2025,8463140000000
21.01,4,2025,30890000000
21.01,5,2025,10310000000
21.01,6,2025,3752140000000
21.01,7,2025,1878220000000
21.01,8,2025,454230000000
21.01,9,2025,1156550000000
21.01,10,2025,243830000000
21.01,11,2025,286300000000
21.01,12,2025,193870000000
21.01,13,2025,170000000
21.01,14,2025,501440000000
21.01,15,2025,318780000000
21.01,16,2025,161570000000
21.01,17,2025,35990000000
19.71,1,2021,448680000000
19.71,2,2021,0
19.71,3,2021,1790380000000
19.71,4,2021,8360000000
19.71,5,2021,2630000000
19.71,6,2021,1048290000000
19.71,7,2021,2365790000000
19.71,8,2021,569530000000
19.71,9,2021,344740000000
19.71,10,2021,548680000000
19.71,11,2021,425510000000
19.71,12,2021,521640000000
19.71,13,2021,36980000000
19.71,14,2021,636660000000
19.71,15,2021,461900000000
19.71,16,2021,221970000000
19.71,17,2021,179690000000
19.71,1,2022,446040000000
19.71,2,2022,0
19.71,3,2022,1957130000000
19.71,4,2022,8030000000
19.71,5,2022,2740000000
19.71,6,2022,1027260000000
19.71,7,2022,2587250000000
19.71,8,2022,630810000000
19.71,9,2022,383200000000
19.71,10,2022,608540000000
19.71,11,2022,443560000000
19.71,12,2022,551820000000
19.71,13,2022,40790000000
19.71,14,2022,627050000000
19.71,15,2022,472850000000
19.71,16,2022,226440000000
19.71,17,2022,194520000000
19.71,1,2023,453160000000
19.71,2,2023,0
19.71,3,2023,1978070000000
19.71,4,2023,8320000000
19.71,5,2023,2750000000
19.71,6,2023,1122120000000
19.71,7,2023,2626600000000
19.71,8,2023,675500000000
19.71,9,2023,424420000000
19.71,10,2023,699610000000
19.71,11,2023,498270000000
19.71,12,2023,577640000000
19.71,13,2023,44510000000
19.71,14,2023,655340000000
19.71,15,2023,522620000000
19.71,16,2023,245520000000
19.71,17,2023,216360000000
19.71,1,2024,467590000000
19.71,2,2024,0
19.71,3,2024,1379370000000
19.71,4,2024,8630000000
19.71,5,2024,2860000000
19.71,6,2024,1120030000000
19.71,7,2024,2656390000000
19.71,8,2024,706620000000
19.71,9,2024,442080000000
19.71,10,2024,773220000000
19.71,11,2024,504900000000
19.71,12,2024,603240000000
19.71,13,2024,47990000000
19.71,14,2024,723430000000
19.71,15,2024,581170000000
19.71,16,2024,250500000000
19.71,17,2024,235890000000
19.71,1,2025,486700000000
19.71,2,2025,0
19.71,3,2025,1518900000000
19.71,4,2025,8980000000
19.71,5,2025,2930000000
19.71,6,2025,1085300000000
19.71,7,2025,2729160000000
19.71,8,2025,768840000000
19.71,9,2025,484840000000
19.71,10,2025,844150000000
19.71,11,2025,510600000000
19.71,12,2025,626760000000
19.71,13,2025,51350000000
19.71,14,2025,722110000000
19.71,15,2025,618240000000
19.71,16,2025,264500000000
19.71,17,2025,257540000000
19.06,1,2021,1426660000000
19.06,2,2021,996210000000
19.06,3,2021,1163930000000
19.06,4,2021,4050000000
19.06,5,2021,1040000000
19.06,6,2021,415430000000
19.06,7,2021,565730000000
19.06,8,2021,110240000000
19.06,9,2021,135400000000
19.06,10,2021,92150000000
19.06,11,2021,26040000000
19.06,12,2021,166390000000
19.06,13,2021,15090000000
19.06,14,2021,340530000000
19.06,15,2021,138740000000
19.06,16,2021,87410000000
19.06,17,2021,29760000000
19.06,1,2022,1447930000000
19.06,2,2022,994830000000
19.06,3,2022,1233190000000
19.06,4,2022,3950000000
19.06,5,2022,1090000000
19.06,6,2022,416060000000
19.06,7,2022,634500000000
19.06,8,2022,121500000000
19.06,9,2022,153110000000
19.06,10,2022,99090000000
19.06,11,2022,27760000000
19.06,12,2022,176180000000
19.06,13,2022,16460000000
19.06,14,2022,341550000000
19.06,15,2022,142220000000
19.06,16,2022,89610000000
19.06,17,2022,32070000000
19.06,1,2023,1520080000000
19.06,2,2023,976110000000
19.06,3,2023,1278840000000
19.06,4,2023,4090000000
19.06,5,2023,1090000000
19.06,6,2023,457270000000
19.06,7,2023,665920000000
19.06,8,2023,128020000000
19.06,9,2023,171170000000
19.06,10,2023,113090000000
19.06,11,2023,31780000000
19.06,12,2023,186130000000
19.06,13,2023,17770000000
19.06,14,2023,371640000000
19.06,15,2023,154800000000
19.06,16,2023,97910000000
19.06,17,2023,34200000000
19.06,1,2024,1617560000000
19.06,2,2024,961170000000
19.06,3,2024,1066580000000
19.06,4,2024,4360000000
19.06,5,2024,1140000000
19.06,6,2024,474370000000
19.06,7,2024,666850000000
19.06,8,2024,134850000000
19.06,9,2024,181320000000
19.06,10,2024,124400000000
19.06,11,2024,32510000000
19.06,12,2024,194680000000
19.06,13,2024,19180000000
19.06,14,2024,419110000000
19.06,15,2024,172420000000
19.06,16,2024,100370000000
19.06,17,2024,36910000000
19.06,1,2025,1666810000000
19.06,2,2025,1043050000000
19.06,3,2025,1107420000000
19.06,4,2025,4490000000
19.06,5,2025,1170000000
19.06,6,2025,469140000000
19.06,7,2025,699050000000
19.06,8,2025,143470000000
19.06,9,2025,196150000000
19.06,10,2025,135680000000
19.06,11,2025,32410000000
19.06,12,2025,202940000000
19.06,13,2025,20490000000
19.06,14,2025,421430000000
